order_id,customer_id,order_date,store_location,category,item,quantity,unit_price,payment_method,satisfaction_rating,total_amount,month,day_of_week,age,gender,loyalty_member,signup_date,age_group
ORD10048,C1598,2025-02-21,Riverside,Brewed Coffee,Drip Coffee,2,2.75,Cash,5.0,5.5,February,Friday,50,Female,False,2025-05-18,45-54
ORD10049,C1649,2025-04-14,Downtown,Brewed Coffee,Cold Brew,2,3.74,Card,5.0,7.48,April,Monday,62,Non-binary,True,2025-12-11,55+
ORD10050,C1202,2025-07-06,Downtown,Espresso Drinks,Cappuccino,3,4.76,Card,,14.28,July,Sunday,43,Female,False,2024-02-26,35-44
ORD10051,C1111,2025-05-02,University Ave,Tea,Green Tea,1,3.74,Card,,3.74,May,Friday,58,Not specified,True,2024-12-09,55+
ORD10052,C1287,2025-01-10,Riverside,Brewed Coffee,Drip Coffee,1,3.76,Card,5.0,3.76,January,Friday,47,Male,True,2025-09-19,45-54
ORD10053,C1162,2025-11-04,University Ave,Espresso Drinks,Americano,3,4.79,Mobile Pay,,14.37,November,Tuesday,39,Female,False,2024-09-08,35-44
ORD10054,C1483,2025-09-24,University Ave,Brewed Coffee,Drip Coffee,1,3.58,Mobile Pay,,3.58,September,Wednesday,59,Female,False,2024-07-15,55+
ORD10055,C1388,2025-07-09,Downtown,Espresso Drinks,Cappuccino,1,4.1,Mobile Pay,,4.1,July,Wednesday,64,Male,False,2025-03-01,55+
ORD10056,C1168,2025-04-26,Downtown,Espresso Drinks,Flat White,1,5.62,Cash,,5.62,April,Saturday,35,Male,False,2024-09-21,35-44
ORD10057,C1113,2025-11-03,Downtown,Brewed Coffee,Cold Brew,3,2.94,Mobile Pay,3.0,8.82,November,Monday,41,Non-binary,True,2024-03-16,35-44
ORD10058,C1353,2025-01-13,Downtown,Pastries,Muffin,2,3.48,Card,4.0,6.96,January,Monday,40,Female,True,2024-04-20,35-44
ORD10059,C1465,2025-06-12,Riverside,Espresso Drinks,Flat White,2,5.02,Mobile Pay,,10.04,June,Thursday,68,Female,True,2025-01-22,55+
ORD10060,C1188,2025-10-19,University Ave,Brewed Coffee,Pour Over,1,3.65,Mobile Pay,,3.65,October,Sunday,30,Male,True,2025-12-21,25-34
ORD10061,C1361,2025-12-13,Riverside,Tea,Herbal Tea,1,4.16,Card,3.0,4.16,December,Saturday,64,Male,False,2024-06-20,55+
ORD10062,C1106,2025-04-02,Downtown,Tea,Green Tea,1,3.71,Card,,3.71,April,Wednesday,58,Non-binary,True,2024-08-02,55+
ORD10063,C1477,2025-08-25,Downtown,Tea,Green Tea,1,4.09,Cash,,4.09,August,Monday,18,Female,False,2024-10-11,18-24
ORD10064,C1173,2025-03-11,Downtown,Tea,Green Tea,2,4.58,Card,,9.16,March,Tuesday,55,Male,False,2024-10-02,55+
ORD10065,C1052,2025-02-12,Downtown,Food,Bagel,2,7.09,Card,,14.18,February,Wednesday,36,Female,True,2025-09-05,35-44
ORD10066,C1645,2025-05-09,Downtown,Food,Bagel,1,7.15,Mobile Pay,5.0,7.15,May,Friday,35,Non-binary,True,2025-01-05,35-44
ORD10067,C1427,2025-11-19,Downtown,Brewed Coffee,Drip Coffee,2,4.05,Card,,8.1,November,Wednesday,59,Male,False,2025-09-06,55+
ORD10068,C1492,2025-09-08,Downtown,Pastries,Croissant,1,4.21,Card,,4.21,September,Monday,57,Female,False,2024-03-20,55+
ORD10069,C1579,2025-06-28,University Ave,Pastries,Scone,1,4.02,Card,5.0,4.02,June,Saturday,23,Male,True,2025-06-13,18-24
ORD10070,C1290,2025-04-13,Downtown,Tea,Herbal Tea,2,4.28,Cash,5.0,8.56,April,Sunday,59,Female,True,2024-09-04,55+
ORD10071,C1501,2025-02-21,Downtown,Espresso Drinks,Espresso Shot,2,3.88,Mobile Pay,,7.76,February,Friday,51,Male,False,2025-01-12,45-54
ORD10072,C1268,2025-04-09,Downtown,Espresso Drinks,Flat White,2,5.11,Mobile Pay,5.0,10.22,April,Wednesday,49,Male,True,2025-07-06,45-54
ORD10073,C1576,2025-02-25,Downtown,Pastries,Croissant,2,2.64,Gift Card,5.0,5.28,February,Tuesday,66,Female,False,2025-10-17,55+
ORD10074,C1032,2025-03-10,Downtown,Brewed Coffee,Pour Over,1,2.88,Card,,2.88,March,Monday,22,Male,True,2024-02-29,18-24
ORD10075,C1493,2025-09-08,Downtown,Food,Avocado Toast,2,7.35,Card,4.0,14.7,September,Monday,49,Male,False,2024-05-19,45-54
ORD10076,C1529,2025-02-18,University Ave,Espresso Drinks,Flat White,3,4.2,Card,5.0,12.6,February,Tuesday,65,Male,True,2025-12-14,55+
ORD10077,C1342,2025-01-18,University Ave,Brewed Coffee,Drip Coffee,3,3.86,Card,4.0,11.58,January,Saturday,50,Female,False,2025-08-16,45-54
ORD10078,C1075,2025-07-17,Downtown,Espresso Drinks,Espresso Shot,3,5.0,Card,3.0,15.0,July,Thursday,42,Female,True,2025-10-11,35-44
ORD10079,C1501,2025-04-15,University Ave,Brewed Coffee,Cold Brew,2,3.81,Mobile Pay,,7.62,April,Tuesday,51,Male,False,2025-01-12,45-54
ORD10080,C1418,2025-06-15,Riverside,Brewed Coffee,Pour Over,2,3.05,Cash,4.0,6.1,June,Sunday,33,Male,True,2025-05-12,25-34
ORD10081,C1515,2025-02-20,Downtown,Espresso Drinks,Americano,1,5.12,Card,,5.12,February,Thursday,23,Male,False,2025-10-19,18-24
ORD10082,C1217,2025-03-18,Riverside,Espresso Drinks,Espresso Shot,3,4.78,Card,2.0,14.34,March,Tuesday,23,Non-binary,False,2024-05-24,18-24
ORD10083,C1568,2025-06-10,Riverside,Food,Bagel,3,8.09,Card,,24.27,June,Tuesday,51,Male,False,2024-06-13,45-54
ORD10084,C1277,2025-09-09,University Ave,Tea,Chai Latte,2,4.15,Mobile Pay,3.0,8.3,September,Tuesday,58,Male,False,2025-06-04,55+
ORD10085,C1333,2025-05-31,Downtown,Pastries,Muffin,2,3.08,Card,,6.16,May,Saturday,61,Male,False,2024-10-04,55+
ORD10086,C1072,2025-07-17,Riverside,Espresso Drinks,Americano,1,4.31,Mobile Pay,,4.31,July,Thursday,42,Female,True,2024-05-19,35-44
ORD10087,C1463,2025-07-09,Downtown,Espresso Drinks,Espresso Shot,3,3.92,Card,4.0,11.76,July,Wednesday,39,Female,False,2025-06-10,35-44
ORD10088,C1193,2025-04-08,University Ave,Brewed Coffee,Drip Coffee,3,2.79,Cash,3.0,8.37,April,Tuesday,36,Male,True,2025-12-06,35-44
ORD10089,C1039,2025-04-12,Riverside,Espresso Drinks,Espresso Shot,1,5.67,Mobile Pay,4.0,5.67,April,Saturday,43,Female,False,2024-07-02,35-44
ORD10090,C1573,2025-06-04,University Ave,Espresso Drinks,Espresso Shot,2,3.77,Cash,4.0,7.54,June,Wednesday,20,Not specified,False,2024-09-30,18-24
ORD10091,C1302,2025-01-12,University Ave,Espresso Drinks,Latte,3,4.25,Card,,12.75,January,Sunday,18,Male,True,2024-10-27,18-24
ORD10092,C1413,2025-09-07,University Ave,Pastries,Scone,2,3.03,Mobile Pay,,6.06,September,Sunday,24,Male,False,2024-08-25,18-24
ORD10093,C1386,2025-08-12,Riverside,Espresso Drinks,Cappuccino,1,4.67,Card,3.0,4.67,August,Tuesday,21,Male,True,2024-04-09,18-24
ORD10094,C1203,2025-04-22,Downtown,Espresso Drinks,Cappuccino,3,4.37,Mobile Pay,4.0,13.11,April,Tuesday,54,Female,False,2025-07-18,45-54
ORD10095,C1323,2025-05-17,Downtown,Espresso Drinks,Espresso Shot,2,5.74,Card,3.0,11.48,May,Saturday,65,Female,False,2025-02-03,55+
ORD10096,C1589,2025-04-30,Riverside,Pastries,Scone,2,3.26,Mobile Pay,,6.52,April,Wednesday,61,Female,True,2025-12-03,55+
ORD10097,C1218,2025-08-26,Riverside,Food,Avocado Toast,3,8.08,Cash,,24.24,August,Tuesday,41,Female,True,2025-02-22,35-44
ORD10098,C1047,2025-10-04,Riverside,Espresso Drinks,Latte,2,4.75,Mobile Pay,4.0,9.5,October,Saturday,64,Female,False,2024-11-13,55+
ORD10099,C1039,2025-02-09,Downtown,Tea,Green Tea,1,4.48,Gift Card,5.0,4.48,February,Sunday,43,Female,False,2024-07-02,35-44
ORD10100,C1476,2025-05-31,University Ave,Pastries,Croissant,1,2.85,Card,,2.85,May,Saturday,62,Male,False,2024-05-13,55+
ORD10101,C1566,2025-01-06,Downtown,Food,Avocado Toast,3,6.86,Card,4.0,20.58,January,Monday,29,Non-binary,True,2025-01-11,25-34
ORD10102,C1533,2025-06-14,Riverside,Brewed Coffee,Pour Over,2,3.15,Cash,,6.3,June,Saturday,32,Female,True,2025-02-21,25-34
ORD10103,C1255,2025-04-01,Downtown,Espresso Drinks,Flat White,1,4.89,Card,,4.89,April,Tuesday,25,Male,False,2024-08-22,25-34
ORD10104,C1539,2025-05-03,University Ave,Brewed Coffee,Drip Coffee,2,2.95,Card,4.0,5.9,May,Saturday,19,Male,False,2025-12-26,18-24
ORD10105,C1147,2025-06-16,Riverside,Tea,Green Tea,1,3.54,Card,,3.54,June,Monday,30,Male,True,2025-02-14,25-34
ORD10106,C1446,2025-04-28,Riverside,Espresso Drinks,Flat White,3,5.21,Gift Card,,15.63,April,Monday,34,Male,True,2024-05-26,25-34
ORD10107,C1226,2025-05-24,Downtown,Brewed Coffee,Drip Coffee,2,3.58,Card,5.0,7.16,May,Saturday,60,Female,True,2024-12-19,55+
ORD10108,C1153,2025-10-06,Downtown,Espresso Drinks,Flat White,3,3.92,Mobile Pay,,11.76,October,Monday,33,Non-binary,False,2024-03-29,25-34
ORD10109,C1390,2025-10-22,Downtown,Pastries,Muffin,1,3.18,Card,,3.18,October,Wednesday,56,Male,True,2024-08-24,55+
ORD10110,C1630,2025-01-03,Riverside,Espresso Drinks,Latte,1,5.03,Gift Card,,5.03,January,Friday,56,Male,True,2024-08-01,55+
ORD10111,C1186,2025-05-18,Downtown,Brewed Coffee,Pour Over,1,2.89,Mobile Pay,,2.89,May,Sunday,26,Not specified,False,2024-06-14,25-34
ORD10112,C1476,2025-11-05,University Ave,Pastries,Cinnamon Roll,1,2.69,Card,,2.69,November,Wednesday,62,Male,False,2024-05-13,55+
ORD10113,C1468,2025-07-13,University Ave,Pastries,Croissant,2,3.8,Card,,7.6,July,Sunday,27,Female,True,2024-08-12,25-34
ORD10114,C1005,2025-03-16,University Ave,Brewed Coffee,Pour Over,2,3.39,Card,,6.78,March,Sunday,62,Non-binary,True,2024-12-24,55+
ORD10115,C1254,2025-08-05,Downtown,Brewed Coffee,Cold Brew,2,3.05,Mobile Pay,3.0,6.1,August,Tuesday,52,Female,False,2025-02-13,45-54
ORD10116,C1031,2025-02-22,Downtown,Espresso Drinks,Flat White,2,3.84,Gift Card,,7.68,February,Saturday,29,Male,True,2025-09-26,25-34
ORD10117,C1315,2025-01-08,Riverside,Brewed Coffee,Cold Brew,1,3.77,Cash,,3.77,January,Wednesday,52,Female,False,2024-11-15,45-54
ORD10118,C1318,2025-08-19,Downtown,Tea,Herbal Tea,3,4.29,Card,,12.87,August,Tuesday,66,Not specified,False,2024-03-27,55+
ORD10119,C1160,2025-07-07,Riverside,Espresso Drinks,Americano,2,3.98,Cash,,7.96,July,Monday,69,Male,True,2025-12-01,55+
ORD10120,C1625,2025-10-03,Downtown,Espresso Drinks,Flat White,1,4.59,Card,,4.59,October,Friday,30,Female,True,2024-08-19,25-34
ORD10121,C1048,2025-05-06,University Ave,Espresso Drinks,Americano,1,5.63,Card,,5.63,May,Tuesday,53,Female,False,2025-11-26,45-54
ORD10122,C1203,2025-11-07,University Ave,Food,Avocado Toast,3,5.92,Card,4.0,17.76,November,Friday,54,Female,False,2025-07-18,45-54
ORD10123,C1423,2025-06-03,Riverside,Pastries,Croissant,1,3.42,Mobile Pay,,3.42,June,Tuesday,48,Male,False,2024-12-29,45-54
ORD10124,C1045,2025-09-26,Riverside,Espresso Drinks,Latte,2,5.25,Card,4.0,10.5,September,Friday,68,Male,False,2025-07-07,55+
ORD10125,C1426,2025-02-06,Riverside,Brewed Coffee,Drip Coffee,3,4.09,Gift Card,,12.27,February,Thursday,62,Female,False,2024-08-20,55+
ORD10126,C1073,2025-02-05,University Ave,Tea,Herbal Tea,2,4.0,Mobile Pay,,8.0,February,Wednesday,24,Male,False,2025-10-09,18-24
ORD10127,C1181,2025-10-12,Riverside,Pastries,Croissant,1,4.4,Mobile Pay,,4.4,October,Sunday,25,Female,False,2025-07-16,25-34
ORD10128,C1042,2025-10-31,Riverside,Brewed Coffee,Cold Brew,2,3.32,Card,4.0,6.64,October,Friday,54,Male,True,2024-03-20,45-54
ORD10129,C1390,2025-12-10,Riverside,Brewed Coffee,Drip Coffee,1,4.19,Card,,4.19,December,Wednesday,56,Male,True,2024-08-24,55+
ORD10130,C1364,2025-04-29,Downtown,Pastries,Muffin,2,3.07,Gift Card,4.0,6.14,April,Tuesday,24,Male,True,2025-01-02,18-24
ORD10131,C1567,2025-01-09,Riverside,Pastries,Cinnamon Roll,2,3.05,Card,5.0,6.1,January,Thursday,30,Female,False,2024-08-06,25-34
ORD10132,C1066,2025-12-23,Riverside,Espresso Drinks,Americano,1,4.79,Card,1.0,4.79,December,Tuesday,65,Female,False,2025-01-03,55+
ORD10133,C1415,2025-08-07,Riverside,Food,Breakfast Sandwich,1,6.39,Cash,,6.39,August,Thursday,53,Male,False,2025-04-04,45-54
ORD10134,C1533,2025-03-31,Riverside,Pastries,Muffin,1,3.05,Gift Card,,3.05,March,Monday,32,Female,True,2025-02-21,25-34
ORD10135,C1428,2025-10-06,Downtown,Tea,Herbal Tea,1,4.39,Mobile Pay,4.0,4.39,October,Monday,19,Female,False,2025-03-14,18-24
ORD10136,C1570,2025-11-26,Downtown,Espresso Drinks,Latte,1,4.14,Card,,4.14,November,Wednesday,67,Female,True,2024-10-03,55+
ORD10137,C1341,2025-04-14,University Ave,Brewed Coffee,Cold Brew,3,2.99,Mobile Pay,,8.97,April,Monday,33,Female,False,2024-12-12,25-34
ORD10138,C1403,2025-10-08,Riverside,Pastries,Scone,1,3.43,Card,,3.43,October,Wednesday,68,Male,True,2024-03-01,55+
ORD10139,C1052,2025-10-14,Downtown,Food,Avocado Toast,2,7.23,Mobile Pay,5.0,14.46,October,Tuesday,36,Female,True,2025-09-05,35-44
ORD10140,C1407,2025-07-02,University Ave,Espresso Drinks,Flat White,1,5.13,Card,,5.13,July,Wednesday,25,Female,True,2024-07-09,25-34
ORD10141,C1099,2025-08-19,Downtown,Tea,Herbal Tea,2,4.02,Mobile Pay,4.0,8.04,August,Tuesday,25,Female,False,2025-09-12,25-34
ORD10142,C1457,2025-04-09,Riverside,Pastries,Muffin,1,3.3,Gift Card,2.0,3.3,April,Wednesday,50,Not specified,True,2024-04-06,45-54
ORD10143,C1162,2025-12-05,Downtown,Espresso Drinks,Flat White,2,4.6,Cash,4.0,9.2,December,Friday,39,Female,False,2024-09-08,35-44
ORD10144,C1002,2025-12-24,University Ave,Espresso Drinks,Flat White,1,3.79,Card,4.0,3.79,December,Wednesday,52,Male,False,2025-08-12,45-54
ORD10145,C1428,2025-12-24,Downtown,Brewed Coffee,Drip Coffee,1,3.63,Cash,4.0,3.63,December,Wednesday,19,Female,False,2025-03-14,18-24
ORD10146,C1129,2025-09-26,University Ave,Espresso Drinks,Latte,2,4.9,Card,,9.8,September,Friday,51,Female,False,2024-05-15,45-54
ORD10147,C1382,2025-01-16,University Ave,Tea,Herbal Tea,1,3.92,Card,5.0,3.92,January,Thursday,67,Male,False,2024-08-07,55+
ORD10148,C1122,2025-05-14,Downtown,Brewed Coffee,Drip Coffee,1,4.24,Card,,4.24,May,Wednesday,52,Female,False,2025-12-28,45-54
ORD10149,C1054,2025-06-11,Riverside,Brewed Coffee,Pour Over,2,3.12,Cash,,6.24,June,Wednesday,43,Male,True,2025-10-02,35-44
ORD10150,C1033,2025-12-16,Riverside,Espresso Drinks,Americano,1,4.23,Cash,,4.23,December,Tuesday,46,Non-binary,False,2024-02-29,45-54
ORD10151,C1561,2025-07-19,University Ave,Espresso Drinks,Latte,1,4.46,Mobile Pay,,4.46,July,Saturday,20,Not specified,False,2024-07-02,18-24
ORD10152,C1404,2025-07-15,University Ave,Pastries,Scone,1,3.75,Mobile Pay,5.0,3.75,July,Tuesday,43,Male,True,2025-11-08,35-44
ORD10153,C1346,2025-02-23,University Ave,Pastries,Cinnamon Roll,2,3.01,Gift Card,4.0,6.02,February,Sunday,69,Female,False,2024-12-28,55+
ORD10154,C1213,2025-10-16,Downtown,Pastries,Scone,1,2.99,Card,,2.99,October,Thursday,41,Male,False,2024-07-09,35-44
ORD10155,C1282,2025-05-03,Downtown,Espresso Drinks,Flat White,1,4.07,Card,,4.07,May,Saturday,52,Female,True,2025-07-04,45-54
ORD10156,C1324,2025-02-03,Downtown,Brewed Coffee,Pour Over,1,2.94,Card,4.0,2.94,February,Monday,68,Female,True,2025-09-19,55+
ORD10157,C1072,2025-12-26,Downtown,Espresso Drinks,Latte,1,3.78,Mobile Pay,3.0,3.78,December,Friday,42,Female,True,2024-05-19,35-44
ORD10158,C1395,2025-03-11,University Ave,Brewed Coffee,Drip Coffee,1,2.93,Card,4.0,2.93,March,Tuesday,63,Male,True,2025-09-15,55+
ORD10159,C1515,2025-01-06,Downtown,Espresso Drinks,Espresso Shot,2,3.95,Mobile Pay,5.0,7.9,January,Monday,23,Male,False,2025-10-19,18-24
ORD10160,C1409,2025-01-29,Riverside,Brewed Coffee,Pour Over,3,4.19,Cash,,12.57,January,Wednesday,18,Female,False,2025-05-28,18-24
ORD10161,C1244,2025-06-14,University Ave,Espresso Drinks,Espresso Shot,2,5.36,Card,,10.72,June,Saturday,50,Female,False,2024-07-25,45-54
ORD10162,C1312,2025-02-07,Riverside,Espresso Drinks,Americano,1,5.53,Mobile Pay,4.0,5.53,February,Friday,24,Male,True,2024-05-22,18-24
ORD10163,C1283,2025-11-03,Downtown,Espresso Drinks,Latte,3,5.52,Cash,4.0,16.56,November,Monday,43,Female,False,2024-10-03,35-44
ORD10164,C1239,2025-07-06,Downtown,Espresso Drinks,Americano,1,5.19,Card,,5.19,July,Sunday,50,Female,False,2025-06-25,45-54
ORD10165,C1080,2025-04-28,Riverside,Espresso Drinks,Americano,2,4.96,Mobile Pay,3.0,9.92,April,Monday,66,Female,True,2024-08-08,55+
ORD10166,C1249,2025-01-02,University Ave,Pastries,Cinnamon Roll,2,3.34,Card,,6.68,January,Thursday,20,Female,False,2024-10-26,18-24
ORD10167,C1406,2025-06-24,Downtown,Espresso Drinks,Latte,2,4.91,Card,5.0,9.82,June,Tuesday,40,Female,False,2025-02-20,35-44
ORD10168,C1091,2025-02-25,Riverside,Pastries,Croissant,1,2.52,Card,3.0,2.52,February,Tuesday,59,Male,True,2024-07-16,55+
ORD10169,C1215,2025-12-23,Riverside,Brewed Coffee,Drip Coffee,2,3.16,Card,4.0,6.32,December,Tuesday,32,Female,False,2024-08-30,25-34
ORD10170,C1190,2025-04-16,Downtown,Espresso Drinks,Flat White,3,4.93,Cash,,14.79,April,Wednesday,53,Female,True,2025-06-12,45-54
ORD10171,C1028,2025-06-22,University Ave,Brewed Coffee,Drip Coffee,1,3.45,Card,,3.45,June,Sunday,46,Female,True,2024-12-30,45-54
ORD10172,C1131,2025-01-07,Riverside,Brewed Coffee,Cold Brew,1,2.84,Mobile Pay,4.0,2.84,January,Tuesday,46,Male,False,2024-10-12,45-54
ORD10173,C1249,2025-02-17,University Ave,Espresso Drinks,Espresso Shot,1,5.18,Card,1.0,5.18,February,Monday,20,Female,False,2024-10-26,18-24
ORD10174,C1618,2025-03-17,Downtown,Tea,Chai Latte,1,4.41,Card,4.0,4.41,March,Monday,21,Male,False,2024-03-04,18-24
ORD10175,C1320,2025-01-19,Downtown,Espresso Drinks,Latte,1,3.96,Card,5.0,3.96,January,Sunday,34,Female,True,2025-06-05,25-34
ORD10176,C1239,2025-09-22,University Ave,Brewed Coffee,Cold Brew,1,3.59,Mobile Pay,,3.59,September,Monday,50,Female,False,2025-06-25,45-54
