order_id,customer_id,order_date,store_location,category,item,quantity,unit_price,payment_method,satisfaction_rating
ORD10164,C1239,2025-07-06,Downtown,Espresso Drinks,Americano,1,5.19,Card,
ORD10165,C1080,2025-04-28,Riverside,Espresso Drinks,Americano,2,4.96,Mobile Pay,3.0
ORD10166,C1249,2025-01-02,University Ave,Pastries,Cinnamon Roll,2,3.34,Card,
ORD10167,C1406,2025-06-24,Downtown,Espresso Drinks,Latte,2,4.91,Card,5.0
ORD10168,C1091,2025-02-25,Riverside,Pastries,Croissant,1,2.52,Card,3.0
ORD10169,C1215,2025-12-23,Riverside,Brewed Coffee,Drip Coffee,2,3.16,Card,4.0
ORD10170,C1190,2025-04-16,Downtown,Espresso Drinks,Flat White,3,4.93,Cash,
ORD10171,C1028,2025-06-22,University Ave,Brewed Coffee,Drip Coffee,1,3.45,Card,
ORD10172,C1131,2025-01-07,Riverside,Brewed Coffee,Cold Brew,1,2.84,Mobile Pay,4.0
ORD10173,C1249,2025-02-17,University Ave,Espresso Drinks,Espresso Shot,1,5.18,Card,1.0
ORD10174,C1618,2025-03-17,Downtown,Tea,Chai Latte,1,4.41,Card,4.0
ORD10175,C1320,2025-01-19,Downtown,Espresso Drinks,Latte,1,3.96,Card,5.0
ORD10176,C1239,2025-09-22,University Ave,Brewed Coffee,Cold Brew,1,3.59,Mobile Pay,
ORD10177,C1021,2025-12-11,Riverside,Espresso Drinks,Espresso Shot,3,4.55,Cash,4.0
ORD10178,C1331,2025-12-25,Riverside,Espresso Drinks,Flat White,1,3.91,Gift Card,
ORD10179,C1390,2025-04-07,Riverside,Brewed Coffee,Drip Coffee,1,3.1,Card,5.0
ORD10180,C1240,2025-10-15,Downtown,Brewed Coffee,Drip Coffee,1,2.82,Mobile Pay,
ORD10181,C1230,2025-07-03,downtown,Espresso Drinks,Americano,2,3.8,Mobile Pay,
ORD10182,C1060,2025-01-17,University Ave,Food,Bagel,3,6.47,Card,
ORD10183,C1276,2025-02-03,Downtown,Espresso Drinks,Flat White,3,3.78,Mobile Pay,
ORD10184,C1046,2025-07-19,University Ave,Pastries,Muffin,2,3.71,Mobile Pay,4.0
ORD10185,C1525,2025-06-04,University Ave,Espresso Drinks,Latte,2,4.31,Mobile Pay,
ORD10186,C1144,2025-01-04,Downtown,Food,Breakfast Sandwich,1,7.59,Mobile Pay,4.0
ORD10187,C1200,2025-12-05,University Ave,Brewed Coffee,Cold Brew,1,3.81,Card,4.0
ORD10188,C1553,2025-09-23,Riverside,Pastries,Scone,3,3.76,Card,
ORD10189,C1578,2025-07-02,Riverside,Espresso Drinks,Cappuccino,3,4.46,Mobile Pay,
ORD10190,C1553,2025-12-26,Riverside,Brewed Coffee,Drip Coffee,2,3.12,Cash,
ORD10191,C1502,2025-12-20,University Ave,Pastries,Scone,3,3.13,Mobile Pay,
ORD10192,C1051,2025-12-21,Downtown,Espresso Drinks,Latte,1,5.56,Card,4.0
ORD10193,C1167,2025-04-05,University Ave,Pastries,Croissant,3,3.41,Card,
ORD10194,C1372,2025-11-17,Downtown,Food,Avocado Toast,2,5.58,Card,1.0
ORD10195,C1003,2025-07-03,university ave,Food,Bagel,1,6.25,Mobile Pay,5.0
ORD10196,C1526,2025-09-22,Downtown,Espresso Drinks,Latte,1,4.08,Cash,3.0
ORD10197,C1080,2025-11-09,Downtown,Espresso Drinks,Americano,1,5.67,Card,5.0
ORD10198,C1215,2025-03-01,Downtown,Brewed Coffee,Drip Coffee,1,4.04,Card,
ORD10199,C1081,2025-06-13,Downtown,Espresso Drinks,Cappuccino,1,5.37,Mobile Pay,
ORD10200,C1397,2025-02-16,Riverside,Pastries,Muffin,1,4.41,Cash,4.0
ORD10201,C1300,2025-04-12,Downtown,Tea,Herbal Tea,2,3.52,Mobile Pay,4.0
ORD10202,C1322,2025-05-31,Riverside,Espresso Drinks,Espresso Shot,2,4.42,Mobile Pay,
ORD10203,C1311,2025-11-08,Downtown,Espresso Drinks,Flat White,2,4.89,Mobile Pay,
ORD10204,C1505,2025-11-11,University Ave,Brewed Coffee,Pour Over,1,3.73,Cash,
ORD10205,C1448,2025-05-22,University Ave,Espresso Drinks,Flat White,1,5.45,Card,
ORD10206,C1300,2025-04-30,downtown,Espresso Drinks,Espresso Shot,1,4.06,Cash,4.0
ORD10207,C1462,2025-07-13,Downtown,Pastries,Muffin,2,4.5,Cash,4.0
ORD10208,C1245,2025-11-28,university ave,Espresso Drinks,Flat White,1,4.92,Card,4.0
ORD10209,C1107,2025-12-22,Downtown,Brewed Coffee,Cold Brew,1,3.57,Card,
ORD10210,C1573,2025-03-24,University Ave,Espresso Drinks,Flat White,1,4.62,Card,
ORD10211,C1168,2025-03-09,Downtown,Tea,Green Tea,2,3.99,Card,5.0
ORD10212,C1165,2025-09-15,Riverside,Espresso Drinks,Espresso Shot,1,3.76,Card,
ORD10213,C1223,2025-04-20,Riverside,Brewed Coffee,Pour Over,2,3.65,Mobile Pay,
ORD10214,C1121,2025-03-14,Downtown,Espresso Drinks,Latte,1,4.02,Card,5.0
ORD10215,C1340,2025-01-12,Downtown,Espresso Drinks,Espresso Shot,1,4.5,Mobile Pay,4.0
ORD10216,C1619,2025-05-27,Downtown,Pastries,Scone,2,2.89,Mobile Pay,
ORD10217,C1533,2025-05-23,riverside,Pastries,Muffin,2,4.32,Card,5.0
ORD10218,C1318,2025-07-24,Riverside,Espresso Drinks,Flat White,2,3.86,Cash,5.0
ORD10219,C1365,2025-03-14,Downtown,Espresso Drinks,Flat White,2,5.26,Mobile Pay,
ORD10220,C1470,2025-09-18,Downtown,Food,Breakfast Sandwich,1,6.61,Card,4.0
ORD10221,C1593,2025-09-05,Downtown,Tea,Green Tea,3,4.61,Mobile Pay,4.0
ORD10222,C1602,2025-06-18,Riverside,Brewed Coffee,Cold Brew,1,2.94,Card,3.0
ORD10223,C1047,2025-03-08,Downtown,Espresso Drinks,Flat White,3,5.69,Card,5.0
ORD10224,C1531,2025-07-04,Downtown,Food,Bagel,1,6.58,Mobile Pay,
ORD10225,C1278,2025-09-03,university ave,Tea,Herbal Tea,1,4.07,Card,
ORD10226,C1472,2025-05-16,Downtown,Brewed Coffee,Cold Brew,2,2.81,Mobile Pay,
ORD10227,C1171,2025-04-06,Riverside,Espresso Drinks,Latte,1,5.06,Card,
ORD10228,C1621,2025-07-04,University Ave,Food,Breakfast Sandwich,3,7.15,Card,
ORD10229,C1601,2025-05-10,University Ave,Brewed Coffee,Cold Brew,1,3.32,Cash,
ORD10230,C1504,2025-05-26,Downtown,Espresso Drinks,Latte,3,3.78,Card,
ORD10231,C1169,2025-05-07,University Ave,Pastries,Cinnamon Roll,2,3.58,Gift Card,2.0
ORD10232,C1588,2025-04-21,Downtown,Pastries,Scone,1,4.17,Cash,
ORD10233,C1479,2025-09-18,Downtown,Espresso Drinks,Americano,1,4.32,Card,3.0
ORD10234,C1649,2025-06-17,University Ave,Tea,Herbal Tea,2,3.9,Card,5.0
ORD10235,C1465,2025-06-19,University Ave,Pastries,Cinnamon Roll,2,3.78,Card,
ORD10236,C1348,2025-08-26,Downtown,Brewed Coffee,Drip Coffee,1,3.56,Mobile Pay,
ORD10237,C1392,2025-05-12,Riverside,Espresso Drinks,Americano,3,5.66,Mobile Pay,
ORD10238,C1642,2025-02-06,Downtown,Brewed Coffee,Pour Over,1,3.47,Mobile Pay,5.0
ORD10239,C1251,2025-11-07,Riverside,Pastries,Muffin,1,2.82,Gift Card,5.0
ORD10240,C1173,2025-01-21,Downtown,Food,Bagel,2,7.0,Mobile Pay,
ORD10241,C1483,2025-07-28,Riverside,Brewed Coffee,Cold Brew,2,4.02,Mobile Pay,
ORD10242,C1436,2025-04-07,Riverside,Brewed Coffee,Pour Over,1,3.29,Card,
ORD10243,C1565,2025-03-19,Downtown,Espresso Drinks,Americano,2,5.29,Card,
ORD10244,C1167,2025-01-16,University Ave,Brewed Coffee,Cold Brew,1,3.15,Gift Card,1.0
ORD10245,C1534,2025-11-24,downtown,Brewed Coffee,Drip Coffee,1,2.76,Card,3.0
ORD10246,C1569,2025-06-06,Downtown,Espresso Drinks,Flat White,2,5.54,Card,5.0
ORD10247,C1555,2025-05-05,Downtown,Tea,Chai Latte,3,4.67,Card,5.0
ORD10248,C1348,2025-09-27, downtown ,Espresso Drinks,Flat White,2,4.27,Card,
ORD10249,C1238,2025-01-15,University Ave,Tea,Chai Latte,1,4.48,Cash,
ORD10250,C1338,2025-07-25,Downtown,Tea,Herbal Tea,1,4.11,Mobile Pay,
ORD10251,C1648,2025-06-30,Downtown,Food,Avocado Toast,2,7.93,Card,3.0
ORD10252,C1118,2025-07-21,University Ave,Espresso Drinks,Espresso Shot,1,3.96,Cash,
ORD10253,C1482,2025-02-15,University Ave,Brewed Coffee,Cold Brew,2,3.62,Gift Card,2.0
ORD10254,C1316,2025-12-13,Downtown,Food,Avocado Toast,1,6.66,Card,4.0
ORD10255,C1212,2025-03-28,University Ave,Espresso Drinks,Americano,2,3.83,Card,1.0
ORD10256,C1505,2025-09-04,University Ave,Tea,Green Tea,2,4.41,Mobile Pay,5.0
ORD10257,C1607,2025-09-29,Downtown,Food,Avocado Toast,1,8.23,Gift Card,5.0
ORD10258,C1428,2025-05-06,Riverside,Pastries,Scone,2,3.25,Card,
ORD10259,C1015,2025-02-17,Downtown,Espresso Drinks,Cappuccino,1,4.92,Card,
ORD10260,C1644,2025-04-18,Riverside,Brewed Coffee,Cold Brew,2,3.44,Mobile Pay,
ORD10261,C1331,2025-10-21,Downtown,Espresso Drinks,Espresso Shot,1,4.83,Cash,
ORD10262,C1367,2025-11-26,University Ave,Brewed Coffee,Cold Brew,3,3.65,Card,
ORD10263,C1076,2025-12-08,University Ave,Brewed Coffee,Cold Brew,2,2.89,Cash,5.0
ORD10264,C1144,2025-03-24,Riverside,Brewed Coffee,Pour Over,3,3.97,Cash,
ORD10265,C1419,2025-08-09,University Ave,Espresso Drinks,Americano,1,4.45,Card,3.0
ORD10266,C1190,2025-02-24,Riverside,Espresso Drinks,Latte,1,5.13,Mobile Pay,
ORD10267,C1635,2025-09-16,Downtown,Pastries,Scone,1,3.51,Card,5.0
ORD10268,C1295,2025-06-01,University Ave,Brewed Coffee,Pour Over,3,3.5,Mobile Pay,
ORD10269,C1155,2025-09-17,University Ave,Espresso Drinks,Latte,1,4.14,Mobile Pay,4.0
ORD10270,C1449,2025-09-07,University Ave,Espresso Drinks,Cappuccino,2,4.93,Mobile Pay,3.0
ORD10271,C1086,2025-12-28,University Ave,Brewed Coffee,Pour Over,2,3.23,Cash,
ORD10272,C1261,2025-06-27,Downtown,Food,Bagel,1,6.28,Mobile Pay,4.0
ORD10273,C1445,2025-05-05,Downtown,Pastries,Muffin,1,3.05,Card,
ORD10274,C1028,2025-07-11,Riverside,Pastries,Scone,1,2.89,Cash,4.0
ORD10275,C1377,2025-03-01,Riverside,Espresso Drinks,Espresso Shot,1,4.75,Mobile Pay,3.0
ORD10276,C1557,2025-02-10,Downtown,Espresso Drinks,Latte,3,4.83,Gift Card,
ORD10277,C1054,2025-07-08,Downtown,Espresso Drinks,Espresso Shot,2,3.87,Mobile Pay,
ORD10278,C1298,2025-10-28,Downtown,Espresso Drinks,Flat White,3,5.06,Card,3.0
ORD10279,C1249,2025-07-14,University Ave,Tea,Green Tea,3,4.49,Gift Card,
ORD10280,C1452,2025-10-12,University Ave,Food,Avocado Toast,2,7.45,Card,4.0
ORD10281,C1637,2025-03-06,Riverside,Pastries,Croissant,1,3.89,Mobile Pay,
ORD10282,C1517,2025-06-13,Riverside,Espresso Drinks,Latte,1,4.21,Mobile Pay,
ORD10283,C1139,2025-08-12,Riverside,Espresso Drinks,Espresso Shot,3,4.58,Cash,
