order_id,customer_id,order_date,store_location,category,item,quantity,unit_price,payment_method,satisfaction_rating,total_amount,month,day_of_week
ORD10117,C1315,2025-01-08,Riverside,Brewed Coffee,Cold Brew,1,3.77,Cash,,3.77,January,Wednesday
ORD10118,C1318,2025-08-19,Downtown,Tea,Herbal Tea,3,4.29,Card,,12.87,August,Tuesday
ORD10119,C1160,2025-07-07,Riverside,Espresso Drinks,Americano,2,3.98,Cash,,7.96,July,Monday
ORD10120,C1625,2025-10-03,Downtown,Espresso Drinks,Flat White,1,4.59,Card,,4.59,October,Friday
ORD10121,C1048,2025-05-06,University Ave,Espresso Drinks,Americano,1,5.63,Card,,5.63,May,Tuesday
ORD10122,C1203,2025-11-07,University Ave,Food,Avocado Toast,3,5.92,Card,4.0,17.76,November,Friday
ORD10123,C1423,2025-06-03,Riverside,Pastries,Croissant,1,3.42,Mobile Pay,,3.42,June,Tuesday
ORD10124,C1045,2025-09-26,Riverside,Espresso Drinks,Latte,2,5.25,Card,4.0,10.5,September,Friday
ORD10125,C1426,2025-02-06,Riverside,Brewed Coffee,Drip Coffee,3,4.09,Gift Card,,12.27,February,Thursday
ORD10126,C1073,2025-02-05,University Ave,Tea,Herbal Tea,2,4.0,Mobile Pay,,8.0,February,Wednesday
ORD10127,C1181,2025-10-12,Riverside,Pastries,Croissant,1,4.4,Mobile Pay,,4.4,October,Sunday
ORD10128,C1042,2025-10-31,Riverside,Brewed Coffee,Cold Brew,2,3.32,Card,4.0,6.64,October,Friday
ORD10129,C1390,2025-12-10,Riverside,Brewed Coffee,Drip Coffee,1,4.19,Card,,4.19,December,Wednesday
ORD10130,C1364,2025-04-29,Downtown,Pastries,Muffin,2,3.07,Gift Card,4.0,6.14,April,Tuesday
ORD10131,C1567,2025-01-09,Riverside,Pastries,Cinnamon Roll,2,3.05,Card,5.0,6.1,January,Thursday
ORD10132,C1066,2025-12-23,Riverside,Espresso Drinks,Americano,1,4.79,Card,1.0,4.79,December,Tuesday
ORD10133,C1415,2025-08-07,Riverside,Food,Breakfast Sandwich,1,6.39,Cash,,6.39,August,Thursday
ORD10134,C1533,2025-03-31,Riverside,Pastries,Muffin,1,3.05,Gift Card,,3.05,March,Monday
ORD10135,C1428,2025-10-06,Downtown,Tea,Herbal Tea,1,4.39,Mobile Pay,4.0,4.39,October,Monday
ORD10136,C1570,2025-11-26,Downtown,Espresso Drinks,Latte,1,4.14,Card,,4.14,November,Wednesday
ORD10137,C1341,2025-04-14,University Ave,Brewed Coffee,Cold Brew,3,2.99,Mobile Pay,,8.97,April,Monday
ORD10138,C1403,2025-10-08,Riverside,Pastries,Scone,1,3.43,Card,,3.43,October,Wednesday
ORD10139,C1052,2025-10-14,Downtown,Food,Avocado Toast,2,7.23,Mobile Pay,5.0,14.46,October,Tuesday
ORD10140,C1407,2025-07-02,University Ave,Espresso Drinks,Flat White,1,5.13,Card,,5.13,July,Wednesday
ORD10141,C1099,2025-08-19,Downtown,Tea,Herbal Tea,2,4.02,Mobile Pay,4.0,8.04,August,Tuesday
ORD10142,C1457,2025-04-09,Riverside,Pastries,Muffin,1,3.3,Gift Card,2.0,3.3,April,Wednesday
ORD10143,C1162,2025-12-05,Downtown,Espresso Drinks,Flat White,2,4.6,Cash,4.0,9.2,December,Friday
ORD10144,C1002,2025-12-24,University Ave,Espresso Drinks,Flat White,1,3.79,Card,4.0,3.79,December,Wednesday
ORD10145,C1428,2025-12-24,Downtown,Brewed Coffee,Drip Coffee,1,3.63,Cash,4.0,3.63,December,Wednesday
ORD10146,C1129,2025-09-26,University Ave,Espresso Drinks,Latte,2,4.9,Card,,9.8,September,Friday
ORD10147,C1382,2025-01-16,University Ave,Tea,Herbal Tea,1,3.92,Card,5.0,3.92,January,Thursday
ORD10148,C1122,2025-05-14,Downtown,Brewed Coffee,Drip Coffee,1,4.24,Card,,4.24,May,Wednesday
ORD10149,C1054,2025-06-11,Riverside,Brewed Coffee,Pour Over,2,3.12,Cash,,6.24,June,Wednesday
ORD10150,C1033,2025-12-16,Riverside,Espresso Drinks,Americano,1,4.23,Cash,,4.23,December,Tuesday
ORD10151,C1561,2025-07-19,University Ave,Espresso Drinks,Latte,1,4.46,Mobile Pay,,4.46,July,Saturday
ORD10152,C1404,2025-07-15,University Ave,Pastries,Scone,1,3.75,Mobile Pay,5.0,3.75,July,Tuesday
ORD10153,C1346,2025-02-23,University Ave,Pastries,Cinnamon Roll,2,3.01,Gift Card,4.0,6.02,February,Sunday
ORD10154,C1213,2025-10-16,Downtown,Pastries,Scone,1,2.99,Card,,2.99,October,Thursday
ORD10155,C1282,2025-05-03,Downtown,Espresso Drinks,Flat White,1,4.07,Card,,4.07,May,Saturday
ORD10156,C1324,2025-02-03,Downtown,Brewed Coffee,Pour Over,1,2.94,Card,4.0,2.94,February,Monday
ORD10157,C1072,2025-12-26,Downtown,Espresso Drinks,Latte,1,3.78,Mobile Pay,3.0,3.78,December,Friday
ORD10158,C1395,2025-03-11,University Ave,Brewed Coffee,Drip Coffee,1,2.93,Card,4.0,2.93,March,Tuesday
ORD10159,C1515,2025-01-06,Downtown,Espresso Drinks,Espresso Shot,2,3.95,Mobile Pay,5.0,7.9,January,Monday
ORD10160,C1409,2025-01-29,Riverside,Brewed Coffee,Pour Over,3,4.19,Cash,,12.57,January,Wednesday
ORD10161,C1244,2025-06-14,University Ave,Espresso Drinks,Espresso Shot,2,5.36,Card,,10.72,June,Saturday
ORD10162,C1312,2025-02-07,Riverside,Espresso Drinks,Americano,1,5.53,Mobile Pay,4.0,5.53,February,Friday
ORD10163,C1283,2025-11-03,Downtown,Espresso Drinks,Latte,3,5.52,Cash,4.0,16.56,November,Monday
ORD10164,C1239,2025-07-06,Downtown,Espresso Drinks,Americano,1,5.19,Card,,5.19,July,Sunday
ORD10165,C1080,2025-04-28,Riverside,Espresso Drinks,Americano,2,4.96,Mobile Pay,3.0,9.92,April,Monday
ORD10166,C1249,2025-01-02,University Ave,Pastries,Cinnamon Roll,2,3.34,Card,,6.68,January,Thursday
ORD10167,C1406,2025-06-24,Downtown,Espresso Drinks,Latte,2,4.91,Card,5.0,9.82,June,Tuesday
ORD10168,C1091,2025-02-25,Riverside,Pastries,Croissant,1,2.52,Card,3.0,2.52,February,Tuesday
ORD10169,C1215,2025-12-23,Riverside,Brewed Coffee,Drip Coffee,2,3.16,Card,4.0,6.32,December,Tuesday
ORD10170,C1190,2025-04-16,Downtown,Espresso Drinks,Flat White,3,4.93,Cash,,14.79,April,Wednesday
ORD10171,C1028,2025-06-22,University Ave,Brewed Coffee,Drip Coffee,1,3.45,Card,,3.45,June,Sunday
ORD10172,C1131,2025-01-07,Riverside,Brewed Coffee,Cold Brew,1,2.84,Mobile Pay,4.0,2.84,January,Tuesday
ORD10173,C1249,2025-02-17,University Ave,Espresso Drinks,Espresso Shot,1,5.18,Card,1.0,5.18,February,Monday
ORD10174,C1618,2025-03-17,Downtown,Tea,Chai Latte,1,4.41,Card,4.0,4.41,March,Monday
ORD10175,C1320,2025-01-19,Downtown,Espresso Drinks,Latte,1,3.96,Card,5.0,3.96,January,Sunday
ORD10176,C1239,2025-09-22,University Ave,Brewed Coffee,Cold Brew,1,3.59,Mobile Pay,,3.59,September,Monday
ORD10177,C1021,2025-12-11,Riverside,Espresso Drinks,Espresso Shot,3,4.55,Cash,4.0,13.65,December,Thursday
ORD10178,C1331,2025-12-25,Riverside,Espresso Drinks,Flat White,1,3.91,Gift Card,,3.91,December,Thursday
ORD10179,C1390,2025-04-07,Riverside,Brewed Coffee,Drip Coffee,1,3.1,Card,5.0,3.1,April,Monday
ORD10180,C1240,2025-10-15,Downtown,Brewed Coffee,Drip Coffee,1,2.82,Mobile Pay,,2.82,October,Wednesday
ORD10181,C1230,2025-07-03,Downtown,Espresso Drinks,Americano,2,3.8,Mobile Pay,,7.6,July,Thursday
ORD10182,C1060,2025-01-17,University Ave,Food,Bagel,3,6.47,Card,,19.41,January,Friday
ORD10183,C1276,2025-02-03,Downtown,Espresso Drinks,Flat White,3,3.78,Mobile Pay,,11.34,February,Monday
ORD10184,C1046,2025-07-19,University Ave,Pastries,Muffin,2,3.71,Mobile Pay,4.0,7.42,July,Saturday
ORD10185,C1525,2025-06-04,University Ave,Espresso Drinks,Latte,2,4.31,Mobile Pay,,8.62,June,Wednesday
ORD10186,C1144,2025-01-04,Downtown,Food,Breakfast Sandwich,1,7.59,Mobile Pay,4.0,7.59,January,Saturday
ORD10187,C1200,2025-12-05,University Ave,Brewed Coffee,Cold Brew,1,3.81,Card,4.0,3.81,December,Friday
ORD10188,C1553,2025-09-23,Riverside,Pastries,Scone,3,3.76,Card,,11.28,September,Tuesday
ORD10189,C1578,2025-07-02,Riverside,Espresso Drinks,Cappuccino,3,4.46,Mobile Pay,,13.38,July,Wednesday
ORD10190,C1553,2025-12-26,Riverside,Brewed Coffee,Drip Coffee,2,3.12,Cash,,6.24,December,Friday
ORD10191,C1502,2025-12-20,University Ave,Pastries,Scone,3,3.13,Mobile Pay,,9.39,December,Saturday
ORD10192,C1051,2025-12-21,Downtown,Espresso Drinks,Latte,1,5.56,Card,4.0,5.56,December,Sunday
ORD10193,C1167,2025-04-05,University Ave,Pastries,Croissant,3,3.41,Card,,10.23,April,Saturday
ORD10194,C1372,2025-11-17,Downtown,Food,Avocado Toast,2,5.58,Card,1.0,11.16,November,Monday
ORD10195,C1003,2025-07-03,University Ave,Food,Bagel,1,6.25,Mobile Pay,5.0,6.25,July,Thursday
ORD10196,C1526,2025-09-22,Downtown,Espresso Drinks,Latte,1,4.08,Cash,3.0,4.08,September,Monday
ORD10197,C1080,2025-11-09,Downtown,Espresso Drinks,Americano,1,5.67,Card,5.0,5.67,November,Sunday
ORD10198,C1215,2025-03-01,Downtown,Brewed Coffee,Drip Coffee,1,4.04,Card,,4.04,March,Saturday
ORD10199,C1081,2025-06-13,Downtown,Espresso Drinks,Cappuccino,1,5.37,Mobile Pay,,5.37,June,Friday
ORD10200,C1397,2025-02-16,Riverside,Pastries,Muffin,1,4.41,Cash,4.0,4.41,February,Sunday
ORD10201,C1300,2025-04-12,Downtown,Tea,Herbal Tea,2,3.52,Mobile Pay,4.0,7.04,April,Saturday
ORD10202,C1322,2025-05-31,Riverside,Espresso Drinks,Espresso Shot,2,4.42,Mobile Pay,,8.84,May,Saturday
ORD10203,C1311,2025-11-08,Downtown,Espresso Drinks,Flat White,2,4.89,Mobile Pay,,9.78,November,Saturday
ORD10204,C1505,2025-11-11,University Ave,Brewed Coffee,Pour Over,1,3.73,Cash,,3.73,November,Tuesday
ORD10205,C1448,2025-05-22,University Ave,Espresso Drinks,Flat White,1,5.45,Card,,5.45,May,Thursday
ORD10206,C1300,2025-04-30,Downtown,Espresso Drinks,Espresso Shot,1,4.06,Cash,4.0,4.06,April,Wednesday
ORD10207,C1462,2025-07-13,Downtown,Pastries,Muffin,2,4.5,Cash,4.0,9.0,July,Sunday
ORD10208,C1245,2025-11-28,University Ave,Espresso Drinks,Flat White,1,4.92,Card,4.0,4.92,November,Friday
ORD10209,C1107,2025-12-22,Downtown,Brewed Coffee,Cold Brew,1,3.57,Card,,3.57,December,Monday
ORD10210,C1573,2025-03-24,University Ave,Espresso Drinks,Flat White,1,4.62,Card,,4.62,March,Monday
ORD10211,C1168,2025-03-09,Downtown,Tea,Green Tea,2,3.99,Card,5.0,7.98,March,Sunday
ORD10212,C1165,2025-09-15,Riverside,Espresso Drinks,Espresso Shot,1,3.76,Card,,3.76,September,Monday
ORD10213,C1223,2025-04-20,Riverside,Brewed Coffee,Pour Over,2,3.65,Mobile Pay,,7.3,April,Sunday
ORD10214,C1121,2025-03-14,Downtown,Espresso Drinks,Latte,1,4.02,Card,5.0,4.02,March,Friday
ORD10215,C1340,2025-01-12,Downtown,Espresso Drinks,Espresso Shot,1,4.5,Mobile Pay,4.0,4.5,January,Sunday
ORD10216,C1619,2025-05-27,Downtown,Pastries,Scone,2,2.89,Mobile Pay,,5.78,May,Tuesday
ORD10217,C1533,2025-05-23,Riverside,Pastries,Muffin,2,4.32,Card,5.0,8.64,May,Friday
ORD10218,C1318,2025-07-24,Riverside,Espresso Drinks,Flat White,2,3.86,Cash,5.0,7.72,July,Thursday
ORD10219,C1365,2025-03-14,Downtown,Espresso Drinks,Flat White,2,5.26,Mobile Pay,,10.52,March,Friday
ORD10220,C1470,2025-09-18,Downtown,Food,Breakfast Sandwich,1,6.61,Card,4.0,6.61,September,Thursday
ORD10221,C1593,2025-09-05,Downtown,Tea,Green Tea,3,4.61,Mobile Pay,4.0,13.83,September,Friday
ORD10222,C1602,2025-06-18,Riverside,Brewed Coffee,Cold Brew,1,2.94,Card,3.0,2.94,June,Wednesday
ORD10223,C1047,2025-03-08,Downtown,Espresso Drinks,Flat White,3,5.69,Card,5.0,17.07,March,Saturday
ORD10224,C1531,2025-07-04,Downtown,Food,Bagel,1,6.58,Mobile Pay,,6.58,July,Friday
ORD10225,C1278,2025-09-03,University Ave,Tea,Herbal Tea,1,4.07,Card,,4.07,September,Wednesday
ORD10226,C1472,2025-05-16,Downtown,Brewed Coffee,Cold Brew,2,2.81,Mobile Pay,,5.62,May,Friday
ORD10227,C1171,2025-04-06,Riverside,Espresso Drinks,Latte,1,5.06,Card,,5.06,April,Sunday
ORD10228,C1621,2025-07-04,University Ave,Food,Breakfast Sandwich,3,7.15,Card,,21.45,July,Friday
ORD10229,C1601,2025-05-10,University Ave,Brewed Coffee,Cold Brew,1,3.32,Cash,,3.32,May,Saturday
ORD10230,C1504,2025-05-26,Downtown,Espresso Drinks,Latte,3,3.78,Card,,11.34,May,Monday
