customer_id,age,gender,loyalty_member,signup_date
C1101,28.0,Female,True,2025-09-19
C1102,59.0,Non-binary,True,2025-11-01
C1103,18.0,Female,False,2024-03-16
C1104,59.0,Female,False,2024-12-08
C1105,58.0,Female,True,2025-02-28
C1106,58.0,Non-binary,True,2024-08-02
C1107,52.0,Female,False,2025-04-07
C1108,42.0,Male,True,2025-10-03
C1109,54.0,Male,False,2024-08-08
C1110,32.0,Male,False,2025-08-30
C1111,58.0,,True,2024-12-09
C1112,46.0,Male,True,2024-03-07
C1113,41.0,Non-binary,True,2024-03-16
C1114,44.0,Female,False,2025-04-23
C1115,47.0,Male,True,2024-07-03
C1116,19.0,Male,True,2024-10-29
C1117,25.0,Male,True,2025-01-30
C1118,30.0,Male,True,2025-09-25
C1119,23.0,,False,2025-04-12
C1120,40.0,Male,True,2024-10-01
C1121,52.0,Male,False,2024-02-10
C1122,52.0,Female,False,2025-12-28
C1123,42.0,Female,False,2024-08-16
C1124,62.0,Female,True,2024-05-18
C1125,47.0,Female,False,2024-03-06
C1126,22.0,Female,False,2025-03-10
C1127,57.0,Female,True,2025-10-10
C1128,47.0,Male,False,2025-06-25
C1129,51.0,Female,False,2024-05-15
C1130,47.0,Non-binary,True,2024-04-26
C1131,46.0,Male,False,2024-10-12
C1132,22.0,Female,False,2025-10-07
C1133,47.0,Female,False,2025-10-07
C1134,59.0,Female,False,2025-01-31
C1135,33.0,,True,2024-11-15
C1136,49.0,Female,False,2025-12-09
C1137,19.0,Male,True,2024-09-07
C1138,36.0,Non-binary,False,2024-12-15
C1139,40.0,,False,2025-12-23
C1140,69.0,Female,True,2025-10-26
C1141,29.0,Female,True,2025-02-16
C1142,32.0,Female,True,2024-08-13
C1143,39.0,Female,True,2024-06-02
C1144,69.0,Female,True,2025-03-05
C1145,62.0,Male,True,2025-06-08
C1146,19.0,Male,True,2024-02-23
C1147,30.0,Male,True,2025-02-14
C1148,60.0,Male,False,2025-05-25
C1149,21.0,Female,False,2025-02-25
C1150,62.0,Male,False,2025-12-23
C1151,32.0,Male,True,2025-06-03
C1152,65.0,Male,False,2025-01-05
C1153,33.0,Non-binary,False,2024-03-29
C1154,40.0,Female,True,2024-08-02
C1155,52.0,Female,True,2024-07-03
C1156,24.0,Female,False,2024-12-15
C1157,46.0,Female,True,2025-10-15
C1158,44.0,Non-binary,False,2025-04-02
C1159,58.0,Female,False,2024-02-03
C1160,69.0,Male,True,2025-12-01
C1161,52.0,Male,True,2024-04-25
C1162,39.0,Female,False,2024-09-08
C1163,39.0,Female,False,2025-06-16
C1164,39.0,Male,True,2024-07-05
C1165,60.0,Male,False,2024-05-25
C1166,34.0,Female,False,2025-12-01
C1167,26.0,Female,False,2025-10-18
C1168,35.0,Male,False,2024-09-21
C1169,19.0,Female,True,2024-02-01
C1170,23.0,Non-binary,True,2025-12-15
C1171,22.0,Female,False,2024-09-22
C1172,58.0,Female,True,2025-09-27
C1173,55.0,Male,False,2024-10-02
C1174,54.0,Male,False,2024-10-21
C1175,42.0,Male,True,2025-10-29
C1176,55.0,Female,False,2024-09-11
C1177,26.0,,True,2024-04-13
C1178,64.0,Male,False,2024-05-06
C1179,44.0,Male,True,2025-12-11
C1180,66.0,Female,False,2025-07-12
C1181,25.0,Female,False,2025-07-16
C1182,43.0,Male,True,2025-02-17
C1183,54.0,Female,False,2025-09-22
C1184,43.0,Male,False,2024-05-12
C1185,41.0,Female,False,2024-07-06
C1186,26.0,,False,2024-06-14
C1187,37.0,Female,False,2025-08-15
C1188,30.0,Male,True,2025-12-21
C1189,33.0,Male,False,2024-04-03
C1190,53.0,Female,True,2025-06-12
C1191,50.0,Male,False,2024-09-28
C1192,49.0,Male,False,2024-04-04
C1193,36.0,Male,True,2025-12-06
C1194,67.0,Female,True,2025-12-28
C1195,22.0,Male,False,2025-12-28
C1196,35.0,Male,True,2025-09-13
C1197,24.0,Male,False,2025-11-25
C1198,35.0,Female,True,2024-06-06
C1199,68.0,Male,False,2024-11-02
C1200,37.0,Male,True,2024-02-14
C1201,65.0,Non-binary,True,2024-06-18
C1202,43.0,Female,False,2024-02-26
C1203,54.0,Female,False,2025-07-18
C1204,41.0,Male,True,2025-06-13
C1205,31.0,Male,False,2024-05-16
C1206,57.0,Male,False,2025-07-13
C1207,68.0,Female,False,2025-11-21
C1208,31.0,Female,True,2024-09-19
C1209,58.0,Male,False,2024-06-19
C1210,31.0,Female,False,2024-02-23
C1211,55.0,Female,False,2024-03-22
C1212,59.0,Male,False,2025-10-08
C1213,41.0,Male,False,2024-07-09
C1214,56.0,Male,True,2024-05-18
C1215,32.0,Female,False,2024-08-30
C1216,22.0,Female,False,2024-06-06
C1217,23.0,Non-binary,False,2024-05-24
C1218,41.0,Female,True,2025-02-22
C1219,64.0,Female,True,2025-12-03
C1220,24.0,Female,False,2025-02-15
C1221,41.0,Male,True,2025-08-12
C1222,54.0,Male,False,2025-10-13
C1223,28.0,Male,True,2025-10-05
C1224,55.0,Male,False,2024-08-30
C1225,33.0,Female,False,2025-01-12
C1226,60.0,Female,True,2024-12-19
C1227,48.0,Male,True,2024-07-28
C1228,46.0,Female,False,2024-12-13
C1229,27.0,Female,False,2024-10-16
C1230,42.0,Female,True,2025-11-01
C1231,62.0,Female,False,2024-05-15
C1232,19.0,Male,False,2025-02-20
C1233,57.0,Male,False,2025-09-14
C1234,43.0,Female,True,2024-06-10
C1235,55.0,Male,True,2024-08-04
C1236,52.0,Male,True,2025-11-24
C1237,40.0,Male,True,2025-08-18
C1238,34.0,Male,True,2025-12-20
C1239,50.0,Female,False,2025-06-25
C1240,25.0,Male,True,2025-10-23
C1241,48.0,Female,False,2024-08-22
C1242,22.0,Female,True,2024-12-31
C1243,51.0,Female,True,2024-02-14
C1244,50.0,Female,False,2024-07-25
C1245,22.0,Female,False,2024-10-29
C1246,57.0,Female,True,2025-01-09
C1247,39.0,Male,True,2025-11-23
C1248,58.0,Female,True,2025-11-12
C1249,20.0,Female,False,2024-10-26
C1250,27.0,Female,False,2025-12-28
C1251,43.0,Female,True,2025-12-02
C1252,27.0,Female,True,2025-07-31
C1253,35.0,Female,False,2024-04-22
C1254,52.0,Female,False,2025-02-13
C1255,25.0,Male,False,2024-08-22
C1256,53.0,Non-binary,False,2025-03-18
C1257,23.0,Male,True,2025-09-01
C1258,27.0,Male,True,2025-04-16
C1259,48.0,Male,True,2025-10-28
C1260,59.0,,False,2024-07-10
C1261,26.0,Male,False,2025-08-25
C1262,33.0,Male,False,2025-04-12
C1263,66.0,Male,False,2024-02-14
C1264,69.0,Male,False,2024-11-12
C1265,48.0,Female,False,2025-02-14
C1266,41.0,Female,True,2024-12-16
C1267,36.0,Female,True,2024-07-01
C1268,49.0,Male,True,2025-07-06
C1269,48.0,Male,False,2024-10-12
C1270,33.0,Female,True,2024-04-30
C1271,19.0,Male,False,2024-11-26
C1272,,Male,False,2025-02-22
C1273,67.0,Male,False,2025-09-21
C1274,39.0,Female,True,2025-07-11
C1275,43.0,Female,True,2024-03-09
C1276,42.0,Male,True,2024-12-18
C1277,58.0,Male,False,2025-06-04
C1278,21.0,,False,2025-03-14
C1279,22.0,Male,False,2024-11-22
C1280,32.0,Male,True,2024-12-20
C1281,43.0,Female,True,2024-08-29
C1282,52.0,Female,True,2025-07-04
C1283,43.0,Female,False,2024-10-03
C1284,40.0,Male,False,2025-02-25
C1285,66.0,Non-binary,True,2024-03-13
C1286,26.0,Female,False,2025-09-12
C1287,47.0,Male,True,2025-09-19
C1288,46.0,Female,False,2025-02-11
C1289,42.0,Female,True,2025-01-10
C1290,59.0,Female,True,2024-09-04
C1291,31.0,Female,False,2025-03-24
C1292,67.0,Non-binary,True,2024-04-01
C1293,35.0,Female,True,2025-02-03
C1294,46.0,Male,False,2025-10-02
C1295,45.0,Male,True,2025-10-09
C1296,62.0,Female,False,2024-02-19
C1297,40.0,Female,False,2025-09-29
C1298,32.0,Male,False,2024-03-08
C1299,19.0,Female,True,2025-06-20
C1300,36.0,Male,False,2025-10-27
C1301,60.0,Female,True,2025-06-01
C1302,18.0,Male,True,2024-10-27
C1303,64.0,Male,True,2025-03-07
C1304,46.0,Female,False,2024-06-30
C1305,25.0,Female,False,2024-10-30
C1306,33.0,Non-binary,False,2025-03-26
C1307,46.0,Female,False,2024-10-13
C1308,34.0,Female,False,2024-02-20
C1309,23.0,Female,False,2025-03-18
C1310,52.0,Female,False,2025-09-15
C1311,52.0,Male,False,2025-03-20
C1312,24.0,Male,True,2024-05-22
C1313,,Female,True,2025-08-01
C1314,30.0,Male,False,2024-03-07
C1315,52.0,Female,False,2024-11-15
C1316,55.0,Female,False,2024-11-05
C1317,55.0,Male,True,2025-05-24
C1318,66.0,,False,2024-03-27
C1319,57.0,Female,True,2025-12-06
C1320,34.0,Female,True,2025-06-05
C1321,23.0,Male,True,2025-03-14
C1322,49.0,Male,True,2025-01-31
C1323,65.0,Female,False,2025-02-03
C1324,68.0,Female,True,2025-09-19
C1325,29.0,Male,False,2025-07-27
C1326,30.0,Female,False,2025-10-26
C1327,19.0,Female,True,2024-11-26
C1328,,Female,False,2025-04-30
C1329,46.0,Female,True,2024-11-30
C1330,46.0,Male,False,2024-11-14
C1331,37.0,Male,False,2024-08-27
C1332,34.0,Male,False,2024-12-14
C1333,61.0,Male,False,2024-10-04
C1334,41.0,,True,2024-11-15
C1335,60.0,Female,False,2024-10-01
C1336,68.0,Female,True,2024-10-26
C1337,34.0,Non-binary,True,2025-05-24
C1338,28.0,Female,True,2025-07-12
C1339,67.0,Male,False,2024-06-28
C1340,51.0,Male,False,2025-05-06
C1341,33.0,Female,False,2024-12-12
C1342,50.0,Female,False,2025-08-16
C1343,44.0,Female,True,2025-03-05
C1344,65.0,Female,False,2024-12-26
C1345,31.0,Female,False,2024-10-19
C1346,69.0,Female,False,2024-12-28
C1347,66.0,Male,True,2025-04-23
C1348,27.0,Male,False,2024-02-27
C1349,26.0,Male,True,2025-01-07
C1350,45.0,Female,True,2024-06-14
C1351,20.0,Female,False,2024-08-03
C1352,33.0,Female,True,2024-12-06
C1353,40.0,Female,True,2024-04-20
C1354,68.0,Non-binary,False,2025-10-03
C1355,69.0,Female,True,2024-03-27
C1356,25.0,Female,False,2024-05-15
C1357,64.0,Male,True,2025-01-13
C1358,22.0,Female,False,2024-08-05
C1359,56.0,Female,False,2025-01-01
C1360,61.0,Female,False,2025-06-26
C1361,64.0,Male,False,2024-06-20
C1362,29.0,Male,False,2025-07-12
C1363,64.0,Female,False,2025-05-25
C1364,24.0,Male,True,2025-01-02
C1365,44.0,Male,True,2024-05-24
C1366,42.0,Male,False,2025-04-07
C1367,34.0,Female,False,2025-01-20
C1368,19.0,Female,True,2025-12-02
C1369,58.0,Male,False,2025-10-11
C1370,35.0,Female,False,2025-11-22
C1371,52.0,Male,False,2025-11-11
C1372,39.0,Male,False,2024-05-03
C1373,,Female,False,2024-05-21
C1374,64.0,Male,False,2024-06-04
C1375,22.0,Non-binary,True,2025-11-23
C1376,56.0,Male,False,2025-11-07
C1377,56.0,Female,True,2025-06-18
C1378,37.0,Male,False,2024-12-01
C1379,31.0,Male,True,2025-05-12
C1380,18.0,Male,False,2025-01-24
C1381,66.0,Male,False,2025-09-01
C1382,67.0,Male,False,2024-08-07
C1383,30.0,Female,False,2025-05-26
C1384,19.0,Female,True,2025-11-15
C1385,24.0,Female,False,2024-07-30
C1386,21.0,Male,True,2024-04-09
C1387,61.0,Male,True,2025-12-21
C1388,64.0,Male,False,2025-03-01
C1389,25.0,Female,True,2024-05-31
C1390,56.0,Male,True,2024-08-24
C1391,27.0,Male,False,2024-05-11
C1392,37.0,Female,False,2025-03-16
C1393,49.0,Male,False,2025-04-15
C1394,55.0,Male,True,2024-08-22
C1395,63.0,Male,True,2025-09-15
C1396,20.0,Female,True,2025-07-17
C1397,,Male,False,2024-11-06
C1398,32.0,Non-binary,False,2024-09-20
C1399,,Male,True,2025-10-09
C1400,69.0,Male,False,2025-01-10
C1401,58.0,,True,2025-04-20
C1402,34.0,Female,True,2025-01-14
C1403,68.0,Male,True,2024-03-01
C1404,43.0,Male,True,2025-11-08
C1405,44.0,,False,2024-02-04
C1406,40.0,Female,False,2025-02-20
C1407,25.0,Female,True,2024-07-09
C1408,66.0,Male,False,2025-03-09
C1409,18.0,Female,False,2025-05-28
C1410,27.0,Male,False,2024-07-10
C1411,29.0,Female,False,2024-09-06
C1412,32.0,,True,2025-09-22
C1413,24.0,Male,False,2024-08-25
C1414,18.0,Female,True,2024-07-22
C1415,53.0,Male,False,2025-04-04
C1416,,Female,True,2024-03-24
C1417,24.0,Male,False,2024-10-09
C1418,33.0,Male,True,2025-05-12
C1419,44.0,Male,True,2025-12-24
C1420,66.0,Female,False,2024-09-15
C1421,54.0,Female,False,2025-08-07
C1422,57.0,Male,False,2024-07-20
C1423,48.0,Male,False,2024-12-29
C1424,39.0,Male,False,2025-02-08
C1425,28.0,Female,True,2025-09-08
C1426,62.0,Female,False,2024-08-20
C1427,59.0,Male,False,2025-09-06
C1428,19.0,Female,False,2025-03-14
C1429,55.0,Female,True,2024-05-25
C1430,22.0,Non-binary,True,2024-03-27
C1431,56.0,Female,False,2024-02-08
C1432,60.0,Male,False,2024-03-01
C1433,24.0,Female,False,2024-12-07
C1434,40.0,Male,False,2025-08-13
C1435,,Male,False,2024-05-23
C1436,47.0,Male,False,2024-06-18
C1437,66.0,Female,False,2024-02-07
C1438,22.0,Male,False,2024-10-02
C1439,38.0,Male,False,2025-09-23
C1440,68.0,Female,True,2025-01-13
C1441,33.0,Female,False,2025-02-21
C1442,24.0,Female,True,2024-05-20
C1443,43.0,Non-binary,True,2025-04-01
C1444,44.0,Male,False,2025-05-15
C1445,52.0,Male,True,2025-11-05
C1446,34.0,Male,True,2024-05-26
C1447,67.0,Male,False,2024-07-21
C1448,45.0,Male,False,2025-12-03
C1449,32.0,Female,True,2025-03-03
C1450,67.0,Male,True,2025-01-30
C1451,66.0,Female,True,2025-02-06
C1452,43.0,Male,False,2024-03-28
C1453,19.0,Male,False,2025-09-17
C1454,49.0,Female,True,2025-05-31
C1455,46.0,Male,False,2025-08-27
C1456,25.0,Female,True,2025-07-14
C1457,50.0,,True,2024-04-06
C1458,61.0,Male,False,2024-03-13
C1459,23.0,Non-binary,True,2025-11-30
C1460,55.0,Female,True,2024-10-15
C1461,25.0,Female,False,2025-07-22
C1462,56.0,Female,False,2025-08-19
C1463,39.0,Female,False,2025-06-10
C1464,18.0,Female,False,2025-08-17
C1465,68.0,Female,True,2025-01-22
C1466,26.0,,True,2024-02-04
C1467,48.0,Female,False,2024-11-16
C1468,27.0,Female,True,2024-08-12
C1469,66.0,Male,False,2025-01-20
C1470,56.0,Male,False,2025-12-22
C1471,59.0,Male,True,2025-11-03
C1472,40.0,Male,False,2025-06-26
C1473,42.0,Male,True,2025-07-14
C1474,50.0,Male,False,2024-05-22
C1475,58.0,Male,False,2024-05-20
C1476,62.0,Male,False,2024-05-13
C1477,18.0,Female,False,2024-10-11
C1478,52.0,Female,False,2024-12-07
C1479,23.0,Female,False,2024-10-03
C1480,32.0,Female,False,2025-03-22
C1481,61.0,Male,False,2024-09-18
C1482,31.0,Female,True,2024-06-23
C1483,59.0,Female,False,2024-07-15
C1484,42.0,Female,False,2024-10-28
C1485,30.0,Male,True,2025-11-21
C1486,,Female,False,2024-08-11
C1487,45.0,Male,False,2025-04-19
C1488,57.0,Male,True,2024-07-29
C1489,49.0,Female,False,2024-12-19
C1490,66.0,Male,True,2024-04-24
C1491,63.0,Female,False,2025-05-09
C1492,57.0,Female,False,2024-03-20
C1493,49.0,Male,False,2024-05-19
C1494,33.0,Male,True,2025-05-14
C1495,39.0,Female,True,2025-01-28
C1496,24.0,Male,False,2024-12-25
C1497,37.0,Female,False,2024-07-11
C1498,66.0,Male,False,2024-09-05
C1499,40.0,Male,False,2024-05-14
C1500,23.0,Male,True,2025-04-17
C1501,51.0,Male,False,2025-01-12
C1502,68.0,Female,True,2025-03-05
C1503,63.0,Male,True,2024-04-04
C1504,32.0,Male,False,2025-06-01
C1505,41.0,Male,True,2024-11-16
C1506,45.0,Female,True,2025-10-08
C1507,30.0,Female,True,2024-05-15
C1508,31.0,Female,False,2025-04-07
C1509,30.0,Female,False,2025-05-07
C1510,69.0,Female,True,2024-11-18
C1511,56.0,Female,False,2025-01-16
C1512,61.0,Male,False,2024-05-17
C1513,60.0,Female,True,2024-12-25
C1514,67.0,Male,True,2025-01-04
C1515,23.0,Male,False,2025-10-19
C1516,63.0,Male,False,2025-12-16
C1517,21.0,Male,False,2025-03-28
C1518,42.0,Male,False,2024-02-02
C1519,48.0,Male,True,2024-03-29
C1520,36.0,Non-binary,True,2024-10-17
C1521,25.0,Male,False,2024-10-16
C1522,27.0,Male,True,2025-04-01
C1523,60.0,Male,False,2025-08-29
C1524,34.0,Male,False,2025-12-26
C1525,34.0,Female,False,2025-05-08
C1526,66.0,Male,False,2025-05-24
C1527,25.0,Male,True,2025-08-19
C1528,65.0,Non-binary,True,2025-07-03
C1529,65.0,Male,True,2025-12-14
C1530,49.0,Female,False,2024-11-01
C1531,26.0,Non-binary,True,2024-03-22
C1532,26.0,Female,True,2024-09-04
C1533,32.0,Female,True,2025-02-21
C1534,48.0,Female,True,2025-03-12
C1535,25.0,Female,False,2025-05-30
C1536,41.0,Female,True,2025-09-23
C1537,24.0,Female,False,2024-11-08
C1538,46.0,Male,True,2024-11-30
C1539,19.0,Male,False,2025-12-26
C1540,54.0,Female,False,2025-03-16
C1541,20.0,Male,True,2025-06-20
C1542,28.0,Female,False,2025-09-03
C1543,27.0,Non-binary,False,2024-08-26
C1544,61.0,Female,False,2024-12-28
C1545,20.0,Male,True,2024-10-14
C1546,40.0,Female,True,2024-08-19
C1547,48.0,Male,False,2024-02-13
C1548,,Female,True,2024-06-18
C1549,53.0,Male,False,2024-10-23
C1550,59.0,Female,False,2024-04-25
C1551,38.0,Male,False,2025-01-31
C1552,61.0,Male,False,2024-02-11
C1553,34.0,Male,False,2024-07-16
C1554,69.0,Male,True,2024-10-02
C1555,44.0,,True,2024-04-08
C1556,56.0,Female,False,2025-01-05
C1557,63.0,Female,False,2024-08-14
C1558,59.0,Female,True,2025-06-15
C1559,62.0,Female,True,2024-02-26
C1560,45.0,Male,False,2024-10-21
C1561,20.0,,False,2024-07-02
C1562,43.0,,False,2025-02-12
C1563,27.0,Male,True,2024-05-04
C1564,64.0,Male,True,2025-11-10
C1565,30.0,Male,False,2025-10-13
C1566,29.0,Non-binary,True,2025-01-11
C1567,30.0,Female,False,2024-08-06
C1568,51.0,Male,False,2024-06-13
C1569,47.0,Male,True,2025-02-26
C1570,67.0,Female,True,2024-10-03
C1571,39.0,Female,True,2024-12-09
C1572,32.0,,False,2024-02-27
C1573,20.0,,False,2024-09-30
C1574,18.0,Male,True,2025-03-15
C1575,37.0,Male,False,2024-02-22
C1576,66.0,Female,False,2025-10-17
C1577,45.0,Female,False,2024-02-11
C1578,64.0,Male,False,2025-09-15
C1579,23.0,Male,True,2025-06-13
C1580,22.0,Male,True,2024-06-04
C1581,61.0,Male,False,2024-08-05
C1582,23.0,Female,True,2024-02-21
C1583,20.0,Male,False,2024-07-25
C1584,39.0,Female,True,2024-10-12
C1585,66.0,Female,True,2025-05-03
C1586,53.0,Female,True,2025-12-28
C1587,23.0,Female,False,2025-10-06
C1588,61.0,Male,True,2025-06-06
C1589,61.0,Female,True,2025-12-03
C1590,59.0,Female,False,2025-01-10
C1591,64.0,Male,True,2024-07-05
C1592,30.0,Male,True,2024-02-26
C1593,68.0,Female,True,2025-01-23
C1594,34.0,Female,True,2024-04-28
C1595,59.0,Female,True,2024-02-11
C1596,48.0,Male,False,2024-05-09
C1597,58.0,Female,True,2025-02-09
C1598,50.0,Female,False,2025-05-18
C1599,51.0,Female,False,2024-02-16
C1600,50.0,Male,True,2025-07-15
C1601,58.0,Female,True,2025-03-18
C1602,56.0,Male,True,2025-11-10
C1603,24.0,Female,False,2024-06-24
C1604,60.0,Male,True,2024-10-03
C1605,45.0,Female,False,2025-11-02
C1606,34.0,Female,False,2025-07-29
C1607,44.0,Female,False,2024-12-08
C1608,,Male,False,2024-12-18
C1609,62.0,Male,False,2024-06-18
C1610,61.0,Female,True,2025-06-28
C1611,42.0,Female,True,2024-03-24
C1612,58.0,Male,True,2025-02-23
C1613,38.0,Male,False,2024-06-04
C1614,53.0,Female,False,2025-07-18
C1615,51.0,Female,False,2025-12-06
C1616,30.0,Male,True,2025-11-23
C1617,31.0,Male,False,2025-04-15
C1618,21.0,Male,False,2024-03-04
C1619,25.0,Non-binary,False,2025-11-27
C1620,40.0,Male,False,2025-04-17
C1621,42.0,Female,True,2025-10-16
C1622,26.0,Male,True,2024-03-19
C1623,39.0,Female,False,2024-09-15
C1624,49.0,Female,True,2024-07-16
C1625,30.0,Female,True,2024-08-19
C1626,35.0,Female,True,2024-09-28
C1627,37.0,Male,True,2024-07-08
C1628,44.0,Female,False,2025-12-26
C1629,37.0,Female,False,2024-05-05
C1630,56.0,Male,True,2024-08-01
C1631,35.0,Male,True,2024-08-01
C1632,40.0,Male,False,2025-03-31
C1633,37.0,Male,False,2024-06-19
C1634,27.0,Male,False,2025-04-08
C1635,53.0,Female,False,2025-11-27
C1636,30.0,Male,True,2024-04-05
C1637,33.0,Male,True,2025-07-20
C1638,59.0,Female,False,2025-10-21
C1639,67.0,Female,False,2024-10-22
C1640,52.0,Female,False,2025-07-21
C1641,65.0,Female,False,2024-05-10
C1642,62.0,Female,False,2025-02-24
C1643,43.0,Female,True,2025-12-28
C1644,58.0,Male,True,2024-03-05
C1645,35.0,Non-binary,True,2025-01-05
C1646,41.0,Female,True,2025-06-30
C1647,45.0,Non-binary,True,2024-09-13
C1648,67.0,Female,False,2024-12-25
C1649,62.0,Non-binary,True,2025-12-11
C1007,54.0,Male,True,2024-10-14
C1328,25.0,Female,False,2025-04-30
C1494,33.0,Male,True,2025-05-14
C1333,61.0,Male,False,2024-10-04
C1564,64.0,Male,True,2025-11-10
C1630,56.0,Male,True,2024-08-01
C1464,18.0,Female,False,2025-08-17
C1613,38.0,Male,False,2024-06-04
